stop_id,stop_name,stop_lat,stop_lon,color
METROBUSL3-TOLNAHUAC,Metrobús Tolnáhuac,19.45989,-99.14406,7A9A01
METROBUSL3-TLATELOLCO,Metrobús Tlatelolco,19.45556,-99.14505,7A9A01
METROBUSL3-RFLORESMAGON,Metrobús Ricardo Flores Magón,19.45178,-99.1459,7A9A01
METROBUSL3-GUERRERO,Metrobús Guerrero,19.44603,-99.14721,7A9A01
METROBUSL3-MINA,Metrobús Mina,19.44058,-99.14855,7A9A01
METROBUSL3-HIDALGO,Metrobús Hidalgo,19.43601,-99.14721,7A9A01
METROBUSL3-JUAREZ,Metrobús Juárez,19.43129,-99.14803,7A9A01
METROBUSL3-BALDERAS,Metrobús Balderas,19.42807,-99.14874,7A9A01
METROBUSL3-CUAUHTEMOC,Metrobús Cuauhtémoc,19.42496,-99.1537,7A9A01
METROBUSL3-JARDINPUSHK,Metrobús Jardín Pushkin,19.4204,-99.15408,7A9A01
METROBUSL3-HOSPGENERAL,Metrobús Hospital General,19.41444,-99.15456,7A9A01
METROBUSL3-DRMARQUEZ,Metrobús Dr. Márquez,19.41111,-99.15484,7A9A01
METROBUSL3-CENTROMEDICO,Metrobús Centro Médico,19.40727,-99.15513,7A9A01
METROBUSL3-OBREROMUNDIAL,Metrobús Obrero Mundial,19.40106,-99.1556,7A9A01
METROBUSL3-LUZSAVINON,Metrobús Luz Saviñón,19.39091,-99.15644,7A9A01
METROBUSL3-EUGENIA,Metrobús Eugenia,19.38595,-99.15723,7A9A01
METROBUSL3-DIVISIONNTE,Metrobús División del Norte,19.37993,-99.15897,7A9A01
METROBUSL3-MIGUELLAURENT,Metrobús Miguel Laurent,19.37434,-99.16038,7A9A01
METROBUSL4-CUAUHTEMOC0,Metrobús Cuahutémoc,19.44259,-99.15242,FF9A03
METROBUSL4-MUSEOSCARL0,Metrobús Museo San Carlos,19.43827,-99.15078,FF9A03
METROBUSL4-BELLASARTES0,Metrobús Bellas Artes,19.43641,-99.14182,FF9A03
METROBUSL4-TEATROBLAN0,Metrobús Teatro Blanquita,19.43864,-99.13997,FF9A03
METROBUSL4-REPCHILE0,Metrobús República de Chile,19.43797,-99.1359,FF9A03
METROBUSL4-REPARGEN0,Metrobús República de Argentina,19.43741,-99.132,FF9A03
METROBUSL4-TEATROPUEB0,Metrobús Teatro del Pueblo,19.43677,-99.12762,FF9A03
METROBUSL4-MIXCALCO0,Metrobús Mixcalco,19.43632,-99.12416,FF9A03
METROBUSL4-FERROCINT0,Metrobús Ferrocarril de Cintura,19.436,-99.12161,FF9A03
METROBUSL4-MORELOS0,Metrobús Morelos,19.43581,-99.119,FF9A03
METROBUSL4-ARCHGRALNAC0,Metrobús Archivo General de la Nación,19.43536,-99.11518,FF9A03
METROBUSL4-LAZARO0,Metrobús San Lázaro,19.43112,-99.11543,FF9A03
METROBUSL4-MOCTEZUMA,Metrobús Moctezuma,19.42689,-99.11198,FF9A03
METROBUSL4-EDOMOLINA,Metrobús Eduardo Molina,19.42718,-99.11623,FF9A03
METROBUSL4-HOSPBALBUE,Metrobús Hospital Balbuena,19.4251,-99.11615,FF9A03
METROBUSL4-CECILIOROB0,Metrobús Cecilio Robelo,19.42517,-99.11987,FF9A03
METROBUSL4-MDOSONORA0,Metrobús Mercado de Sonora,19.42318,-99.12392,FF9A03
METROBUSL4-MERCED,Metrobús La Merced,19.42545,-99.12595,FF9A03
METROBUSL4-CRUCESNTE,Metrobús Las Cruces Norte,19.4287,-99.12927,FF9A03
METROBUSL4-CRUCESSUR,Metrobús Las Cruces Sur,19.42616,-99.12992,FF9A03
METROBUSL4-MUSEOCDAD0,Metrobús Museo de la Ciudad,19.42893,-99.1328,FF9A03
METROBUSL4-PINOSUAREZ,Metrobús Pino Suárez,19.42666,-99.13278,FF9A03
METROBUSL4-ISABELCATOLI0,Metrobús Isabel la Católica,19.42962,-99.13701,FF9A03
METROBUSL4-SALVADOR0,Metrobús El Salvador,19.43007,-99.13942,FF9A03
METROBUSL4-EJECTRAL0,Metrobús Eje Central,19.43033,-99.14193,FF9A03
